89,0
94,0
97,0
98,0
100,0
109,4
112,4
117,2
118,0
119,1
120,0
121,0
121,1
122,0
122,1
124,0
125,1
127,0
127,2
127,4
129,2
130,4
134,0
137,1
140,0
141,1
142,0
145,0
146,0
146,2
148,0
148,1
148,2
150,0
151,0
151,1
154,0
154,1
154,2
156,1
158,2
159,0
159,2
161,2
163,0
165,4
166,0
166,1
168,1
169,0
169,5
170,0
170,1
171,0
171,2
174,1
175,2
176,0
177,2
178,1
181,0
181,1
182,1
183,0
183,2
184,1
184,2
185,5
187,0
187,3
188,1
189,5
191,1
191,2
193,0
193,2
194,2
195,0
195,1
195,2
195,4
195,5
197,0
197,1
199,3
200,0
203,1
204,0
206,3
209,1
210,1
212,2
213,1
214,5
215,0
215,1
215,5
216,2
216,5
217,4
218,0
218,4
219,2
220,2
220,4
222,2
223,2
227,4
229,0
229,2
230,4
231,1
232,2
234,2
234,4
234,5
235,2
235,4
236,4
237,1
238,2
240,2
241,4
241,5
242,4
243,2
243,3
244,1
245,0
245,3
245,4
246,5
247,4
248,4
250,2
252,2
254,4
255,0
255,2
255,4
257,0
258,1
259,1
259,3
259,5
260,1
262,3
262,5
263,0
263,1
263,3
263,5
265,1
266,2
266,4
267,1
267,2
268,0
268,2
268,4
269,2
269,4
270,4
271,1
273,1
273,3
274,1
274,4
275,3
276,2
277,1
277,2
277,4
278,1
280,1
281,2
282,2
283,1
285,2
286,3
286,5
287,4
288,2
289,2
289,3
289,5
290,2
290,4
291,1
291,4
292,1
293,2
293,3
294,3
296,2
298,2
298,3
298,5
299,4
300,4
300,5
301,3
303,3
303,4
303,5
305,1
305,2
305,3
305,5
306,3
306,5
307,1
308,4
309,2
309,4
310,3
310,4
312,2
313,1
313,2
314,2
314,3
315,5
316,3
317,4
318,1
318,5
319,3
320,3
321,2
321,3
321,5
322,4
323,3
324,3
325,2
327,2
328,2
328,3
330,3
330,5
331,5
333,3
333,4
334,5
335,1
336,4
336,5
338,3
338,4
339,3
343,2
343,3
344,3
345,5
346,3
346,5
348,5
350,3
350,5
352,2
352,4
353,2
353,5
354,1
354,5
355,5
356,5
360,3
361,4
364,4
365,5
366,3
367,5
368,5
369,4
369,5
370,3
370,4
371,5
372,3
373,4
373,5
374,5
375,4
379,3
379,4
380,3
381,3
381,4
382,4
383,3
383,5
386,3
387,5
388,5
390,3
390,5
392,3
395,4
397,5
399,5
400,5
402,5
403,5
405,3
411,5
412,5
413,3
413,4
413,5
421,5
432,5
436,3
446,5
457,3
472,3
